This is the list of counters for release 0.6

      4 LDS	Area control China +Activation 6
      1 SSS	LD Anglia <25:Sepoys:cipayes>
      1 SSS	LD Arabia <1>
      1 SSS	LD Arabia <2>
      1 SSS	LD Astracan <1>
      1 SSS	LD Azteca <1>
      1 SSS	LD Azteca <2>
      1 SSS	LD Friburgensi <1>
      1 SSS	LD Friburgensi <2>
      1 SSS	LD Bavaria <1>
      1 SSS	LD Bavaria <2>
      1 SSS	LD Bavaria <3>
      1 SSS	LD Belgica <1>
      1 SSS	LD Belgica <2>
      1 SSS	LD Clivia <1>
      1 SSS	LD   <1:Militia:blanc>
      1 SSS	LD   <2:Militia:blanc>
      1 SSS	LD   <3:Militia:blanc>
      1 SSS	LD   <4:Militia:blanc>
      1 SSS	LD Bohemia <1>
      1 SSS	LD Bohemia <2>
      1 SSS	LD Burgundia <1>
      1 SSS	LD Burgundia <2>
      1 SSS	LD Brunsvicum <1>
      1 SSS	LD Ordo Hospitalis <2>
      1 SSS	LD Colonia <1>
      1 SSS	LD Corsica <1>
      1 SSS	LD Don Cassackia <1>
      1 SSS	LD Curlandia <1>
      1 SSS	LD Curlandia <2>
      1 SSS	LD Crimea <1>
      1 SSS	LD Crimea <2>
      1 SSS	LD Crimea <3>
      1 SSS	LD Crimea <4>
      1 SSS	LD Syria <1>
      1 SSS	LD Syria <2>
      1 SSS	LDE Durranis Imp. <A>
      1 SSS	LDE Durranis Imp. <B>
      1 SSS	LDE Anglia <K:Sepoys:cipayes>
      1 SSS	LDE Anglia <L:Sepoys:cipayes>
      1 SSS	LDE Anglia <M:Sepoys:cipayes>
      1 SSS	LDE Azteca <A>
      1 SSS	LDE Azteca <B>
      1 SSS	LDE   <A:Militia:blanc>
      1 SSS	LDE   <B:Militia:blanc>
      1 SSS	LDE   <C:Militia:blanc>
      1 SSS	LDE   <D:Militia:blanc>
      1 SSS	LDE   <E:Militia:blanc>
      1 SSS	LDE   <F:Militia:blanc>
      1 SSS	LDE   <G:Militia:blanc>
      1 SSS	LDE   <H:Militia:blanc>
      1 SSS	LDE   <I:Militia:blanc>
      1 SSS	LDE   <J:Militia:blanc>
      1 SSS	LDE   <K:Militia:blanc>
      1 SSS	LDE   <L:Militia:blanc>
      1 SSS	LD Scotia <3>
      1 SSS	LDE Francia <I:Cipayes:cipayes>
      1 SSS	LDE Francia <J:Cipayes:cipayes>
      1 SSS	LDE Francia <K:Cipayes:cipayes>
      1 SSS	LDE Francia <L:Coureurs des bois:alliesindiens>
      1 SSS	LDE Francia <M:Coureurs des bois:alliesindiens>
      1 SSS	LDE Francia <N:Coureurs des bois:alliesindiens>
      1 SSS	LDE Francia <O:Coureurs des bois:alliesindiens>
      1 SSS	LDE Hollandia <I:Indiërs:cipayes>
      1 SSS	LDE Hollandia <J:Indiërs:cipayes>
      1 SSS	LDE Hyderabada <A>
      1 SSS	LDE Hyderabada <B>
      1 SSS	LDE Inca <A>
      1 SSS	LDE Inca <B>
      1 SSS	LDE Iroquois <A>
      1 SSS	LDE Iroquois <B>
      1 SSS	LDE Iroquois <C>
      1 SSS	LDE Mogolis Imp. <A>
      1 SSS	LDE Mogolis Imp. <B>
      1 SSS	LDE Mysuria <A>
      1 SSS	LDE Mysuria <B>
      1 SSS	LDE Barbaria <A>
      1 SSS	LDE Barbaria <B>
      1 SSS	LDE Barbaria <C>
      1 SSS	LDE Barbaria <D>
      1 SSS	LDE Barbaria <E>
      1 SSS	LDE Barbaria <F>
      1 SSS	LDE Barbaria <G>
      1 SSS	LDE Barbaria <H>
      1 SSS	LDE Barbaria <I>
      1 SDS	LDENDE Aceh <A>
      1 SDS	LDENDE Aceh <B>
      1 SDS	LDENDE Aden <A>
      1 SDS	LDENDE Aden <B>
      1 SDS	LDENDE Aden <C>
      1 SDS	LDENDE Aden <D>
      1 SDS	LDENDE Anglia <A>
      1 SDS	LDENDE Anglia <B>
      1 SDS	LDENDE Anglia <C>
      1 SDS	LDENDE Anglia <D>
      1 SDS	LDENDE Anglia <E>
      1 SDS	LDENDE Anglia <F>
      1 SDS	LDENDE Anglia <G>
      1 SDS	LDENDE Anglia <H>
      1 SDS	LDENDE Anglia <I>
      1 SDS	LDENDE Anglia <J>
      1 SDS	LDENDE China <A>
      1 SDS	LDENDE China <B>
      1 SDS	LDENDE China <C>
      1 SDS	LDENDE China <D>
      1 SDS	LDENDE China <E>
      1 SDS	LDENDE China <F>
      1 SDS	LDENDE Hispania <A>
      1 SDS	LDENDE Hispania <B>
      1 SDS	LDENDE Hispania <C>
      1 SDS	LDENDE Hispania <D>
      1 SDS	LDENDE Hispania <E>
      1 SDS	LDENDE Hispania <F>
      1 SDS	LDENDE Hispania <G>
      1 SDS	LDENDE Hispania <H>
      1 SDS	LDENDE Hispania <I>
      1 SDS	LDENDE Hispania <J>
      1 SDS	LDENDE Francia <A>
      1 SDS	LDENDE Francia <B>
      1 SDS	LDENDE Francia <C>
      1 SDS	LDENDE Francia <D>
      1 SDS	LDENDE Francia <E>
      1 SDS	LDENDE Francia <F>
      1 SDS	LDENDE Francia <G>
      1 SDS	LDENDE Francia <H>
      1 SDS	LDENDE Guzarate <A>
      1 SDS	LDENDE Guzarate <B>
      1 SDS	LDENDE Guzarate <C>
      1 SDS	LDENDE Guzarate <D>
      1 SDS	LDENDE Habsburgum <A>
      1 SDS	LDENDE Habsburgum <B>
      1 SDS	LDENDE Habsburgum <C>
      1 SDS	LDENDE Hollandia <A>
      1 SDS	LDENDE Hollandia <B>
      1 SDS	LDENDE Hollandia <C>
      1 SDS	LDENDE Hollandia <D>
      1 SDS	LDENDE Hollandia <E>
      1 SDS	LDENDE Hollandia <F>
      1 SDS	LDENDE Hollandia <G>
      1 SDS	LDENDE Hollandia <H>
      1 SDS	LDENDE Iaponia <A>
      1 SDS	LDENDE Iaponia <B>
      1 SDS	LDENDE Iaponia <C>
      1 SDS	LDENDE Iaponia <D>
      1 SDS	LDENDE Ægyptus <A>
      1 SDS	LDENDE Ægyptus <B>
      1 SDS	LDENDE Ayman <A>
      1 SDS	LDENDE Ayman <B>
      1 SDS	LDENDE Ayman <C>
      1 SDS	LDENDE Ayman <D>
      1 SDS	LDENDE Polonia <A>
      1 SDS	LDENDE Polonia <B>
      1 SDS	LDENDE Polonia <C>
      1 SDS	LDENDE Portugallia <A>
      1 SDS	LDENDE Portugallia <B>
      1 SDS	LDENDE Portugallia <C>
      1 SDS	LDENDE Portugallia <D>
      1 SDS	LDENDE Portugallia <E>
      1 SDS	LDENDE Portugallia <F>
      1 SDS	LDENDE Portugallia <G>
      1 SDS	LDENDE Portugallia <H>
      1 SDS	LDENDE Prussia <A>
      1 SDS	LDENDE Prussia <B>
      1 SDS	LDENDE Prussia <C>
      1 SDS	LDENDE Fidelis Regi <A>
      1 SDS	LDENDE Fidelis Regi <B>
      1 SDS	LDENDE Fidelis Regi <C>
      1 SDS	LDENDE Fidelis Regi <D>
      1 SDS	LDENDE Russia <A>
      1 SDS	LDENDE Russia <B>
      1 SDS	LDENDE Russia <C>
      1 SDS	LDENDE Russia <D>
      1 SDS	LDENDE Russia <E>
      1 SDS	LDENDE Russia <F>
      1 SDS	LDENDE Russia <G>
      1 SDS	LDENDE Russia <H>
      1 SDS	LDENDE Suecia <A>
      1 SDS	LDENDE Suecia <B>
      1 SDS	LDENDE Suecia <C>
      1 SDS	LDENDE Suecia <D>
      1 SDS	LDENDE Suecia <E>
      1 SDS	LDENDE Suecia <F>
      1 SDS	LDENDE Turcia <A>
      1 SDS	LDENDE Turcia <B>
      1 SDS	LDENDE Turcia <C>
      1 SDS	LDENDE Turcia <D>
      1 SDS	LDENDE Turcia <E>
      1 SDS	LDENDE Turcia <F>
      1 SDS	LDENDE U.S.A. <A>
      1 SDS	LDENDE U.S.A. <B>
      1 SDS	LDENDE U.S.A. <C>
      1 SDS	LDENDE U.S.A. <D>
      1 SDS	LDENDE Venetia <A>
      1 SDS	LDENDE Venetia <B>
      1 SDS	LDENDE Venetia <C>
      1 SDS	LDENDE Venetia <D>
      1 SSS	LDE Rebellis <A>
      1 SSS	LDE Rebellis <B>
      1 SSS	LDE Revolt <C>
      1 SSS	LDE Revolt <D>
      1 SSS	LDE Russia <I:Козаки:cosaquesdon>
      1 SSS	LDE Russia <J:Козаки:cosaquesdon>
      1 SSS	LDE Russia <K:Козаки:cosaquesdon>
      1 SSS	LDE Russia <L:Козаки:cosaquesdon>
      1 SSS	LDE Siberia <A>
      1 SSS	LDE Siberia <B>
      1 SSS	LDE Sudania <A>
      1 SSS	LDE Sudania <B>
      1 SSS	LD Hispania <11>
      1 SSS	LD Hispania <12>
      1 SSS	LD Hispania <13>
      1 SSS	LD Hispania <14>
      1 SSS	LD Hispania <15>
      1 SSS	LD Hispania <16>
      1 SSS	LD Hispania <17>
      1 SSS	LD Hispania <18>
      1 SSS	LD Hispania <19>
      1 SSS	LD Hispania <20>
      1 SSS	LDE Bisinagar <A>
      1 SSS	LDE Bisinagar <B>
      1 SSS	LD Finlandia <1>
      1 SSS	LD Finlandia <2>
      1 SSS	LD Francia <16>
      1 SSS	LD Francia <17>
      1 SSS	LD Francia <18>
      1 SSS	LD Francia <19>
      1 SSS	LD Francia <20>
      1 SSS	LD Francia <21:Cipayes:cipayes>
      1 SSS	LD Francia <22:Cipayes:cipayes>
      1 SSS	LD Francia <23:Cipayes:cipayes>
      1 SSS	LD Francia <24:Cipayes:cipayes>
      1 SSS	LD Francia <25:Cipayes:cipayes>
      1 SSS	LD Francia <26:Grands Lacs:alliesindiens>
      1 SSS	LD Francia <27:Québec:alliesindiens>
      1 SSS	LD Georgiani <1>
      1 SSS	LD Granada <1>
      1 SSS	LD Granada <2>
      1 SSS	LD Guzarate <5>
      1 SSS	LD Guzarate <6>
      1 SSS	LD Habsburgum <3>
      1 SSS	LD Habsburgum <4>
      1 SSS	LD Habsburgum <5>
      1 SSS	LD Habsburgum <6>
      1 SSS	LD Habsburgum <7>
      1 SSS	LD Habsburgum <8>
      1 SSS	LD Hanovere <1>
      1 SSS	LD Hanovere <2>
      1 SSS	LD Hassia <1>
      1 SSS	LD Hassia <2>
      1 SSS	LD Hollandia <16:Indiërs:cipayes>
      1 SSS	LD Hollandia <17:Indiërs:cipayes>
      1 SSS	LD Hollandia <18:Indiërs:cipayes>
      1 SSS	LD Hollandia <19:Indiërs:cipayes>
      1 SSS	LD Hungaria <1>
      1 SSS	LD Hungaria <2>
      1 SSS	LD Hungaria <3>
      1 SSS	LD Hungaria <4>
      1 SSS	LD Huguenotis <1>
      1 SSS	LD Huguenotis <2>
      1 SSS	LD Huguenotis <3>
      1 SSS	LD Huguenotis <4>
      1 SSS	LD Hyderabada <1>
      1 SSS	LD Inca <1>
      1 SSS	LD Inca <2>
      1 SSS	LD Mesopotamia <1>
      1 SSS	LD Mesopotamia <2>
      1 SSS	LD Hibernia <1>
      1 SSS	LD Hibernia <2>
      1 SSS	LD Iroquois <1>
      1 SSS	LD Iroquois <2>
      1 SSS	LD Iroquois <3>
      1 SSS	LD Cazan <1>
      1 SSS	LD Leodium <1>
      1 SSS	LD Livonia <1>
      1 SSS	LD Livonia <2>
      1 SSS	LD Lituania <10>
      1 SSS	LD Lituania <11>
      1 SSS	LD Lituania <12>
      1 SSS	LD Lituania <13>
      1 SSS	LD Lituania <14>
      1 SSS	LD Lituania <15>
      1 SSS	LD Lotharingia <1>
      1 SSS	LD Lotharingia <2>
      1 SSS	LD Luca <1>
      1 SSS	LD Mauretanium <2>
      1 SSS	LD Mauretanium <3>
      1 SSS	LD Moguntium <1>
      1 SSS	LD Lombardia <1>
      1 SSS	LD Lombardia <2>
      1 SSS	LD Mutina <1>
      1 SSS	LD Mogolis Imp. <1>
      1 SSS	LD Mogolis Imp. <2>
      1 SSS	LD Moldavia <1>
      1 SSS	LD Monte Ferrato <1>
      1 SSS	LD Mysuria <1>
      1 SSS	LD Siciliæ <3>
      1 SSS	LD Barbaria <1>
      1 SSS	LD Barbaria <2>
      1 SSS	LD Barbaria <3>
      1 SSS	LD Barbaria <4>
      1 SSS	LD Barbaria <5>
      1 SSS	LD Barbaria <6>
      1 SSS	LD Barbaria <7>
      1 SSS	LD Barbaria <8>
      1 SDS	LDND Aceh <1>
      1 SDS	LDND Aceh <2>
      1 SDS	LDND Aden <1>
      1 SDS	LDND Aden <2>
      1 SDS	LDND Algeria <1>
      1 SDS	LDND Algeria <2>
      1 SDS	LDND Algeria <3>
      1 SDS	LDND Anglia <10>
      1 SDS	LDND Anglia <11>
      1 SDS	LDND Anglia <12>
      1 SDS	LDND Anglia <13>
      1 SDS	LDND Anglia <14>
      1 SDS	LDND Anglia <15>
      1 SDS	LDND Anglia <1>
      1 SDS	LDND Anglia <2>
      1 SDS	LDND Anglia <3>
      1 SDS	LDND Anglia <4>
      1 SDS	LDND Anglia <5>
      1 SDS	LDND Anglia <6>
      1 SDS	LDND Anglia <7>
      1 SDS	LDND Anglia <8>
      1 SDS	LDND Anglia <9>
      1 SDS	LDND Ordo Hospitalis <1>
      1 SDS	LDND China <1>
      1 SDS	LDND China <2>
      1 SDS	LDND China <3>
      1 SDS	LDND China <4>
      1 SDS	LDND China <5>
      1 SDS	LDND China <6>
      1 SDS	LDND China <7>
      1 SDS	LDND China <8>
      1 SDS	LDND Cyrenaica <1>
      1 SDS	LDND Dania <1>
      1 SDS	LDND Dania <2>
      1 SDS	LDND Dania <3>
      1 SDS	LDND Dania <4>
      1 SDS	LDND Scotia <1>
      1 SDS	LDND Scotia <2>
      1 SDS	LDND Hispania <10>
      1 SDS	LDND Hispania <1>
      1 SDS	LDND Hispania <2>
      1 SDS	LDND Hispania <3>
      1 SDS	LDND Hispania <4>
      1 SDS	LDND Hispania <5>
      1 SDS	LDND Hispania <6>
      1 SDS	LDND Hispania <7>
      1 SDS	LDND Hispania <8>
      1 SDS	LDND Hispania <9>
      1 SDS	LDND Francia <10>
      1 SDS	LDND Francia <11>
      1 SDS	LDND Francia <12>
      1 SDS	LDND Francia <13>
      1 SDS	LDND Francia <14>
      1 SDS	LDND Francia <15>
      1 SDS	LDND Francia <1>
      1 SDS	LDND Francia <2>
      1 SDS	LDND Francia <3>
      1 SDS	LDND Francia <4>
      1 SDS	LDND Francia <5>
      1 SDS	LDND Francia <6>
      1 SDS	LDND Francia <7>
      1 SDS	LDND Francia <8>
      1 SDS	LDND Francia <9>
      1 SDS	LDND Genua <1>
      1 SDS	LDND Genua <2>
      1 SDS	LDND Guzarate <1>
      1 SDS	LDND Guzarate <2>
      1 SDS	LDND Guzarate <3>
      1 SDS	LDND Guzarate <4>
      1 SDS	LDND Habsburgum <1>
      1 SDS	LDND Habsburgum <2>
      1 SDS	LDND Hansa <1>
      1 SDS	LDND Hansa <2>
      1 SDS	LDND Hansa <3>
      1 SDS	LDND Hollandia <10>
      1 SDS	LDND Hollandia <11>
      1 SDS	LDND Hollandia <12>
      1 SDS	LDND Hollandia <13>
      1 SDS	LDND Hollandia <14>
      1 SDS	LDND Hollandia <15>
      1 SDS	LDND Hollandia <1>
      1 SDS	LDND Hollandia <2>
      1 SDS	LDND Hollandia <3>
      1 SDS	LDND Hollandia <4>
      1 SDS	LDND Hollandia <5>
      1 SDS	LDND Hollandia <6>
      1 SDS	LDND Hollandia <7>
      1 SDS	LDND Hollandia <8>
      1 SDS	LDND Hollandia <9>
      1 SDS	LDND Iaponia <1>
      1 SDS	LDND Iaponia <2>
      1 SDS	LDND Iaponia <3>
      1 SDS	LDND Iaponia <4>
      1 SDS	LDND Ægyptus <1>
      1 SDS	LDND Ægyptus <2>
      1 SDS	LDND Mauretanium <1>
      1 SDS	LDND Siciliæ <1>
      1 SDS	LDND Siciliæ <2>
      1 SDS	LDND Ayman <1>
      1 SDS	LDND Ayman <2>
      1 SDS	LDND Sancta Sedes <1>
      1 SDS	LDND Sancta Sedes <2>
      1 SDS	LDND Polonia <1>
      1 SDS	LDND Polonia <2>
      1 SDS	LDND Polonia <3>
      1 SDS	LDND Portugallia <1>
      1 SDS	LDND Portugallia <2>
      1 SDS	LDND Portugallia <3>
      1 SDS	LDND Portugallia <4>
      1 SDS	LDND Portugallia <5>
      1 SDS	LDND Portugallia <6>
      1 SDS	LDND Portugallia <7>
      1 SDS	LDND Prussia <1>
      1 SDS	LDND Prussia <2>
      1 SDS	LDND Fidelis Regi <1>
      1 SDS	LDND Fidelis Regi <2>
      1 SDS	LDND Fidelis Regi <3>
      1 SDS	LDND Fidelis Regi <4>
      1 SDS	LDND Fidelis Regi <5>
      1 SDS	LDND Russia <10>
      1 SDS	LDND Russia <1>
      1 SDS	LDND Russia <2>
      1 SDS	LDND Russia <3>
      1 SDS	LDND Russia <4>
      1 SDS	LDND Russia <5>
      1 SDS	LDND Russia <6>
      1 SDS	LDND Russia <7>
      1 SDS	LDND Russia <8>
      1 SDS	LDND Russia <9>
      1 SDS	LDND Sabaudia <1>
      1 SDS	LDND Suecia <10>
      1 SDS	LDND Suecia <1>
      1 SDS	LDND Suecia <2>
      1 SDS	LDND Suecia <3>
      1 SDS	LDND Suecia <4>
      1 SDS	LDND Suecia <5>
      1 SDS	LDND Suecia <6>
      1 SDS	LDND Suecia <7>
      1 SDS	LDND Suecia <8>
      1 SDS	LDND Suecia <9>
      1 SDS	LDND D.S.M. Theutonicorum <4>
      1 SDS	LDND Tımarlar <11>
      1 SDS	LDND Tımarlar <12>
      1 SDS	LDND Tımarlar <13>
      1 SDS	LDND Tımarlar <14>
      1 SDS	LDND Tımarlar <15>
      1 SDS	LDND Tripolis <1>
      1 SDS	LDND Tunesia <1>
      1 SDS	LDND Tunesia <2>
      1 SDS	LDND Turcia <1>
      1 SDS	LDND Turcia <2>
      1 SDS	LDND Turcia <3>
      1 SDS	LDND Turcia <4>
      1 SDS	LDND Turcia <5>
      1 SDS	LDND U.S.A. <1>
      1 SDS	LDND Venetia <1>
      1 SDS	LDND Venetia <2>
      1 SDS	LDND Venetia <3>
      1 SDS	LDND Venetia <4>
      1 SDS	LDND Venetia <5>
      1 SDS	LDND Venetia <6>
      1 SSS	LD Norvegia <1>
      1 SSS	LD Norvegia <2>
      1 SSS	LD Westfalia <1>
      1 SSS	LD Westfalia <2>
      1 SSS	LD Ayman <3>
      1 SSS	LD Ayman <4>
      1 SSS	LD Palatinatus <1>
      1 SSS	LD Palatinatus <2>
      1 SSS	LD Sancta Sedes <3>
      1 SSS	LD Parma <1>
      1 SSS	LD Persia <1>
      1 SSS	LD Persia <2>
      1 SSS	LD Persia <3>
      1 SSS	LD Persia <4>
      1 SSS	LD Persia <5>
      1 SSS	LD Polonia <4>
      1 SSS	LD Polonia <5>
      1 SSS	LD Polonia <6>
      1 SSS	LD Polonia <7>
      1 SSS	LD Polonia <8>
      1 SSS	LD Polonia <9>
      1 SSS	LD Pommerania <1>
      1 SSS	LD Pommerania <2>
      1 SSS	LD Portugallia <10>
      1 SSS	LD Portugallia <8>
      1 SSS	LD Portugallia <9>
      1 SSS	LD Prussia <10>
      1 SSS	LD Prussia <3>
      1 SSS	LD Prussia <4>
      1 SSS	LD Prussia <5>
      1 SSS	LD Prussia <6>
      1 SSS	LD Prussia <7>
      1 SSS	LD Prussia <8>
      1 SSS	LD Prussia <9>
      1 SSS	LD Pskove <1>
      1 SSS	LD Rebellis <1>
      1 SSS	LD Rebellis <2>
      1 SSS	LD Rebellis <3>
      1 SSS	LD Rebellis <4>
      1 SSS	LD Rebellis <5>
      1 SSS	LD Rebellis <6>
      1 SSS	LD Rebellis <7>
      1 SSS	LD Rebellis <8>
      1 SSS	LD Rebellis <9>
      1 SSS	LD Revolt <10>
      1 SSS	LD Revolt <11>
      1 SSS	LD Revolt <12>
      1 SSS	LD Revolt <13>
      1 SSS	LD Revolt <14>
      1 SSS	LD Fidelis Regi <10>
      1 SSS	LD Fidelis Regi <6>
      1 SSS	LD Fidelis Regi <7>
      1 SSS	LD Fidelis Regi <8>
      1 SSS	LD Fidelis Regi <9>
      1 SSS	LD Russia <11>
      1 SSS	LD Russia <12>
      1 SSS	LD Russia <13>
      1 SSS	LD Russia <14>
      1 SSS	LD Russia <15>
      1 SSS	LD Russia <16>
      1 SSS	LD Russia <17>
      1 SSS	LD Russia <18>
      1 SSS	LD Russia <19>
      1 SSS	LD Russia <20>
      1 SSS	LD Russia <21:Козаки:cosaquesdon>
      1 SSS	LD Russia <22:Козаки:cosaquesdon>
      1 SSS	LD Russia <23:Козаки:cosaquesdon>
      1 SSS	LD Russia <24:Козаки:cosaquesdon>
      1 SSS	LD Rezane <1>
      1 SSS	LD Sancta Lega <1>
      1 SSS	LD Sancta Lega <2>
      1 SSS	LD Sancta Lega <3>
      1 SSS	LD Sancta Lega <4>
      1 SSS	LD Sac. Rom. Imp. <1>
      1 SSS	LD Sac. Rom. Imp. <2>
      1 SSS	LD Sabaudia <2>
      1 SSS	LD Saxonia <1>
      1 SSS	LD Saxonia <2>
      1 SSS	LD Siberia <1>
      1 SSS	LD Sudania <1>
      1 SSS	LD Tartaria <1>
      1 SSS	LD Tartaria <2>
      1 SSS	LD Suecia <11>
      1 SSS	LD Suecia <12>
      1 SSS	LD Suecia <13>
      1 SSS	LD Suecia <14>
      1 SSS	LD Suecia <15>
      1 SSS	LD Suecia <16:Poniatowski:pologne>
      1 SSS	LD Helvetia <1>
      1 SSS	LD Helvetia <2>
      1 SSS	LD Fratres Militiæ Christi <1>
      1 SSS	LD Fratres Militiæ Christi <2>
      1 SSS	LD D.S.M. Theutonicorum <3>
      1 SSS	LD Turingia <1>
      1 SSS	LD Tımarlar <16>
      1 SSS	LD Tımarlar <17>
      1 SSS	LD Tımarlar <18>
      1 SSS	LD Tımarlar <19>
      1 SSS	LD Tımarlar <20>
      1 SSS	LD Toscana <1>
      1 SSS	LD Toscana <2>
      1 SSS	LD Transilvania <1>
      1 SSS	LD Transilvania <2>
      1 SSS	LD Treverorum <1>
      1 SSS	LD Turcia <10>
      1 SSS	LD Turcia <6>
      1 SSS	LD Turcia <7>
      1 SSS	LD Turcia <8>
      1 SSS	LD Turcia <9>
      1 SSS	LD Ukraina <1>
      1 SSS	LD Ukraina <2>
      1 SSS	LD U.S.A. <2>
      1 SSS	LD U.S.A. <3>
      1 SSS	LD Walachia <1>
      1 SSS	LD Venetia <10>
      1 SSS	LD Venetia <7>
      1 SSS	LD Venetia <8>
      1 SSS	LD Venetia <9>
      1 SSS	LD Bisinagar <1>
      1 SSS	LD Bisinagar <2>
      1 SSS	LD Wirtenberga <1>
      1 SSS	LD Wirtenberga <2>
      1 SSS	Leader Aden <’Emīru albahr:P:R:A 2.2.2>X
      1 SSS	Leader Algeria <Uluç Ali:d:Pm:A 5.1.4>T16
      1 SSS	Leader Anglia <Amherst:G:$:B 3.3.1 -1>T54
      1 SSS	Leader Anglia <?1:A::G 2.2.3>X
      1 SSS	Leader Anglia <?2:A::H 3.2.2>X
      1 SSS	Leader Anglia <?3:A:P:I 4.2.3>X
      1 SSS	Leader Anglia <?4:A:R:M 3.2.2>X
      1 SSS	Leader Anglia <?5:A::N 4.1.2>X
      1 SSS	Leader Anglia <?6:A:PR:O 4.2.2>X
      1 SSS	Leader Anglia <?1:C:R:K 3.2.2>X
      1 SSS	Leader Anglia <?2:C:R:L 4.3.4>X
      1 SSS	Leader Anglia <?3:C:R:E 4.1.2>X
      1 SSS	Leader Anglia <?1:E:R:M 3.2.2>X
      1 SSS	Leader Anglia <?2:E:R:N 5.1.1>X
      1 SSS	Leader Anglia <?3:E:R:H 3.1.1>X
      1 SSS	Leader Anglia <?1:G::E 2.3.2>X
      1 SSS	Leader Anglia <?1:g:R:E 3.2.2>X
      1 SSS	Leader Anglia <?2:G::F 3.2.1 -1>X
      1 SSS	Leader Anglia <?2:g:R:E 4.3.2>X
      1 SSS	Leader Anglia <?3:g:R:E 4.2.2>X
      1 SSS	Leader Anglia <?3:G:R:G 2.3.3>X
      1 SSS	Leader Anglia <?4:G::M 2.2.1 -1>X
      1 SSS	Leader Anglia <?5:G:R:N 3.3.3>X
      1 SSS	Leader Anglia <?6:G::O 4.2.2>X
      1 SSS	Leader Anglia <Anson:E:PR:D 4.2.4>T50
      1 SSS	Leader Anglia <Ayscue:A::F 2.3.2>T33
      1 SSS	Leader Anglia <Benbow:A:PR:B 3.2.4>T42
      1 SSS	Leader Anglia <Boscawen:A:R:E 5.4.3>T48
      1 SSS	Leader Anglia <Bradford:g:R:A 2.3.3>T27
      1 SSS	Leader Anglia <Burgoyne:G:$:B 2.2.2>T57
      1 SSS	Leader Anglia <Byng:A::C 2.1.2>T51
      1 SSS	Leader Anglia <Carleton:g:$:E 4.3.3>T56
      1 SSS	Leader Anglia <Clive:C:@:J 4.6.6>T53
      1 SSS	Leader Anglia <Cook:E:R:J 6.1.1>T56
      1 SSS	Leader Anglia <Cornwallis:g:R:B 2.2.3>T58
      1 SSS	Leader Anglia <Cromwell:G::A 4.4.4>P4
      1 SSS	Leader Anglia <Dudley:G::A 3.3.2>T18
      1 SSS	Leader Anglia <Grenville:E:PR:K 4.4.2>T20
      1 SSS	Leader Anglia <Hastings:g:@:D 5.1.1>T57
      1 SSS	Leader Anglia <Hawke:A:R:C 4.3.3>T51
      1 SSS	Leader Anglia <Hood:A:R:B 2.4.4>T58
      1 SSS	Leader Anglia <Howard:A:PR:A 3.5.4>T19
      1 SSS	Leader Anglia <Hudson:E:R:J 5.3.2>T24
      1 SSS	Leader Anglia <J Cabot:E:R:J 4.2.4>T2
      1 SSS	Leader Anglia <Moore:G:R:E 3.2.3>T61
      1 SSS	Leader Anglia <Murray:G:R:G 4.2.2>T55
      1 SSS	Leader Anglia <Nelson:A:R:C 6.6.6>T61
      1 SSS	Leader Anglia <Radisson:E:$:G 5.1.1>T36
      1 SSS	Leader Anglia <Raleigh:C:R:B 3.2.2>T18
      1 SSS	Leader Anglia <Rodney:A:R:A 3.3.3>T56
      1 SSS	Leader Anglia <Rooke:A:R:A 3.4.3>T41
      1 SSS	Leader Anglia <Royal Marines:G::H 4.4.4 -3>P5
      1 SSS	Leader Anglia <Russell:A::B 3.1.2>T41
      1 SSS	Leader Anglia <Saunders:A:R:B 4.1.3>T52
      1 SSS	Leader Anglia <S Cabot:E:R:J 4.5.2>T12
      1 SSS	Leader Anglia <Smith:C:R:D 4.2.2>T23
      1 SSS	Leader Anglia <Torrington:A::E 2.2.3>T40
      1 SSS	Leader Anglia <Wolfe:G:$:C 4.4.5>T53
      1 SSS	Leader Anglia <Marlborough:G::A 5.5.6 -2>T43
      1 SSS	Leader Anglia <Cavendish:E:R:L 5.4.4>T20
      1 SSS	Leader Anglia <Drake:A:R♥:C 5.5.6>T17
      1 SSS	Leader Anglia <Frobisher:E:R:J 4.5.2>T18
      1 SSS	Leader Anglia <Hawkins:A:R:B 3.3.5>T17
      1 SSS	Leader Bavaria <Maximilian II.:K::A 3.2.3>T39
      1 SSS	Leader Bavaria <Mercy:G::A 2.4.4>P4
      1 SSS	Leader Bavaria <Tilly:G::A 4.4.4 -1>P4
      1 SSS	Leader Corsica <Sampiero:G:m:A 4.2.3>P3
      1 SSS	Leader Dania <?1:G::A 2.3.2>X
      1 SSS	Leader Dania <?2:G::C 2.2.3 -1>X
      1 SSS	Leader Dania <Christian IV:K::A 4.2.2 -1>P4
      1 SSS	Leader Dania <Rantzau:G::A 4.2.3>T15
      1 SDS	LeaderDouble Anglia <Blake:G:R:A 3.3.4/A:R:A 4.4.4>T31
      1 SDS	LeaderDouble Anglia <Duke of York:G::A 2.3.4/A::A 2.3.4>P4
      1 SDS	LeaderDouble Anglia <Howe:G:$*:A 1.3.3/A:$:A 2.2.2>T58
      1 SDS	LeaderDouble Anglia <Monck:G::B 3.3.3/A::A 4.5.3>T30
